,Hotel,Review,Score
1975,Commodore Hotel, The hotel was very friendly and welcoming and extremely helpful ,0.8674
1977,Commodore Hotel, leaving the next morning There was nothing about this hotel I liked The location is good for the park but there are plenty of better hotels in the area ,0.7717
1978,Commodore Hotel, 50m from my conference,0
1979,Commodore Hotel, The bed was comfortable clean bedding and towels Toiletries were included ,0.7184
1980,Commodore Hotel, Full English was excellent and reception staff very helpful,0.7778
1981,Commodore Hotel, The Victorian elements were lovely Stopped the hotel being the same as everywhere else The staff were friendly and polite ,0.7269
1982,Commodore Hotel, Helpful staff great location on a quiet street across from Hyde Park and within a few min walking to Underground station Very reasonably priced ,0.7845
1983,Commodore Hotel, Friendly staff and reasonable location Nice reception and lounge area ,0.7184
1984,Commodore Hotel, After a 24hour flight we showed up at the hotel looking all dishellevd and tired The staff could not have been more welcoming They let us freshen up downstairs and held our bags till checkin so we could wander around They gave us maps and heaps of info which really helped us get around hassle free Every time we got home or left in the morning the staff made an effort to smile and see if we needed help and really made us feel comfortable Even though it was absolutely freezing outside inside was so cosy and warm There is really nothing to fault Perfect location literally 3 minutes to walk to the nearest tube and right across from the park with a bike station almost at the front door plus lots of major attractions in walking distance The room was big and had a beautiful bathroom with good heating and wifi Definitely good value for money and would stay here again next time We loved it ,0.986
1985,Commodore Hotel, The ambience and location were excellent The staff were friendly and helpful ,0.8658
1986,Commodore Hotel, The hotel was in a great location close but not too close to town The staff were very helpful and friendly and we were upgraded to a suite which was an unexpected and welcome surprise The room was opulent in its day but needs a little TLC as wear is starting to show With that said it is the first time we have stayed in a hotel where the bedroom is upstairs Very grand The breakfast was good quality and well cooked All in all a great and very enjoyable stay ,0.9911
1987,Commodore Hotel, Lady in the morning was lovely on reception I left on 25 04 16,0.5859
1988,Commodore Hotel, The bed was comfy Staff were helpful and polite ,0.4215
1989,Commodore Hotel, The location was great Bus stations are around the corner and the central line is just at the next stop The staff was very friendly and the breakfast was excellent ,0.8777
1990,Commodore Hotel, Breakfast good but expensive Room clean staff courteous and helfful,0.8735
1991,Commodore Hotel, Location was excellent ,0.5719
1992,Commodore Hotel, Nice to have a double bed in a single room Neighbourhood attractive and very quiet 10 min walk from Paddington Staff very pleasant,0.8516
1993,Commodore Hotel, large room Viceroy Suite pleasant staff,0.5106
1994,Commodore Hotel, Great location beautiful hotel and room friendly staff,0.9042
1996,Commodore Hotel, Staff were very friendly lovely bathrooms both in apartment and normal room but apartment shower looked amazing but water came out unevenly for the big head shower but there was also a smaller hand held one inside which was good Even though the apartment floor had stains it still had the wow factor and a good main bed Bit pricey but what you would expect for the location Great for transport too taxi rank round the corner and bus stops 1 minute away not at all far from the station either ,0.9872
1997,Commodore Hotel, The location of this property is excellent It s close to the tube station and to the bus stops There are convenient stores in the area It s very close to Kensington Gardens ,0.4767
1998,Commodore Hotel, Beds were comfy location was excellent and overall stay was very enjoyable,0.7841
1999,Commodore Hotel, The room was of a good size although a little strange with the bathroom on a higher level Staff seemed friendly and helpful ,0.8122
2000,Commodore Hotel, We liked being so close to the park and easy to access tube and bus lines Lots of good restaurants and pubs nearby Friendly helpful staff ,0.9274
2001,Commodore Hotel, Staff incredibly friendly room good price for a central London location ,0.7688
2002,Commodore Hotel, Two minutes from Hyde Park We booked a suit with four poster which was well worth the little extra Breakfast cooked to order was a nice bonus It had an old quaint feel but wasn t lacking in amenities,0.631
2003,Commodore Hotel, location is next to lancaster gate station staff are very helpful,0.4754
2004,Commodore Hotel, The staff were friendly and helpful Hotel was located near to the train station and not far from anywhere we wanted to travel Rooms were clean but small and a great place to locate yourself when staying in London,0.8885
2005,Commodore Hotel, Booked for 2 nights at 164 on the first night the room had a cold wind blowing in the room room a c only made a sound but did not seem work went to receptionist at midnight to be reallocated another room this room was above 5 flights of stairs room carpet was un clean and tea kettle did not work no internet working even though wireless password given signal too weak even to check emails staff was friendly but hotel needs to be pulled Dow completely and re built I would definitely not come back here again ,0.8715
2006,Commodore Hotel, Nothing,0
2008,Commodore Hotel, The staff were friendly,0.4939
2009,Commodore Hotel, Good location English breakfast ordered and cooked in kitchen which was nice but meant it took a lot longer than usual for breakfast ,0.431
2010,Commodore Hotel, The bed was very comfortable,0.5563
2011,Commodore Hotel, Good location Nice hotel Clean and comfortable Close to tube ,0.8934
2012,Commodore Hotel, Friendly staff great location,0.8074
2015,Commodore Hotel, The location is incredible the staff are accommodating and the rooms are very comfortable Its quite a small hotel and is quite an old building but all the rooms have been updated to a very high spec they are very modern and clean Perfect base for a stay in London city ,0.906
2016,Commodore Hotel, Professional helpful staff By London s standards the rooms are spacious and comfortable The hotel is generally quiet too as it is tucked away from the Bayswater Road ,0.7269
2017,Commodore Hotel, I have been cheerly welcomed by the hotel manager who really impressed me for enthusiam and kindness All staff was nice throughout all my staying at Commodore ,0.9324
2019,Commodore Hotel, Location excellent Staff very helpful and polite ,0.7778
2020,Commodore Hotel, The location is great It s opposite of Hyde Park in a very nice and clean neighbourhood The staff was really kind ,0.9306
2021,Commodore Hotel, The hotel was very close to the tube station,0
2022,Commodore Hotel, Friendly and accommodating staff great location between Queesnway Lancaster Gate tube stations close to a couple shops restaurants and cafes right next to Hyde Park ,0.8074
2024,Commodore Hotel, The balcony was a nice surprise and the bed was comfy Having the use of the fridge was useful ,0.7783
2025,Commodore Hotel, Well located and for a reasonable price ,0.2732
2028,Commodore Hotel, Only the location,0
2029,Commodore Hotel, The staff were very helpful Also very near an underground and close to beautiful Hyde Park Clean towels each day and beds made nicely,0.9117
2030,Commodore Hotel, The staff were generally friendly and accommodating When it came time to leave they helped us by organising a taxi to take us to the airport which was much appreciated The room was kept clean and items like shampoo soaps and lotion were good quality and topped up regularly The bed was fairy comfortable and the room was a good size for the two of us ,0.9618
2031,Commodore Hotel, It was 5 minutes walk to the tube The staff were very helpful We even got a free upgrade ,0.7501
2032,Commodore Hotel, Good location only a few minutes from the tube Nice room space and a balcony terrace for out particular room ,0.6908
2033,Commodore Hotel, Desk staff seemed pleasent location was good,0.4404
2034,Commodore Hotel, Reasonably convenient for Paddington station ,0
2035,Commodore Hotel, Great find on booking com got it for 65 for the night Great location near to Hyde Park and close to tube stations Lovely high quality hotel and room ,0.9186
2036,Commodore Hotel, The bed was very comfortable and the breakfast was very nice ,0.7708
